Key,Japanese(ja)
"Factory.Name","ランク{Rank} Lv{Level}\n生産{Power}/{Unit}"
"Factory.Cost","Lvアップ{Cost}\n生産{NextPower}/{Unit}"
"Status.Coin","コイン{Coin}"
"Status.Commodity","作物{Commodity}"
"Status.ClickPower","総生産{ClickPower}/クリック"
"Status.AutoPower","総生産{AutoPower}/秒"
"Status.FeverRate","フィーバー倍率x{FeverRate}"
"Status.FeverTimeLeft","フィーバータイム{FeverTimeLeft}"
"Status.FeverCoolTime","クールタイム{FeverCoolTime}"
"Status.FeverAdsCoolTime","広告クールタイム{FeverAdsCoolTime}"
"Fever","フィーバー"
"FeverAds","広告視聴でフィーバー回復"
"LoginAds","広告視聴で2倍"
"Factories","施設一覧"
"LevelUpButton","ランク{Rank} Lv{Level}\nLvアップ{Cost}"
"Close","閉じる"
"Collect","回収"
"Unit.Click","クリック"
"Unit.Auto","秒"
